"age_group","agi_class","outcome","estimate","p.raw","p.smooth"
4,5,"pct_outflow_n1",0.000732011710472859,0.466666666666667,0.496650144511264
4,5,"net_outflow_n1",-11.4979094716109,0.733333333333333,0.686506084333048
4,5,"net_outflow_agi",-33.0026214017853,0.6,0.602075170406226
4,6,"pct_outflow_n1",0.00509803703124245,0.111111111111111,0.139450611437752
4,6,"net_outflow_n1",269.751712279354,0.0444444444444444,0.0632263114225741
4,6,"net_outflow_agi",45451.7495826736,0.0222222222222222,0.0341420235467407
4,7,"pct_outflow_n1",0.0125585478776511,0.0444444444444444,0.0335283812278216
4,7,"net_outflow_n1",523.671867044214,0,8.21496625511527e-33
4,7,"net_outflow_agi",559676.690048021,0,0.0136376846232284
5,1,"pct_outflow_n1",0.00522058364777184,0.111111111111111,0.193576401826974
5,1,"net_outflow_n1",13.3026106171406,0.444444444444444,0.434915228117477
5,1,"net_outflow_agi",-217.381223065156,0.866666666666667,0.798521533247572
5,2,"pct_outflow_n1",-0.000111135456332646,0.466666666666667,0.457743324152945
5,2,"net_outflow_n1",-100.771545458114,0.933333333333333,0.909819610943823
5,2,"net_outflow_agi",-1574.57750698809,0.844444444444444,0.866742967120284
5,3,"pct_outflow_n1",0.00127615996159067,0.222222222222222,0.253708090240942
5,3,"net_outflow_n1",49.9161624803018,0.177777777777778,0.282102479574353
5,3,"net_outflow_agi",2048.37175698548,0.2,0.236190990973187
5,4,"pct_outflow_n1",0.00128481237700157,0.2,0.228560393906392
5,4,"net_outflow_n1",62.2861147323695,0.288888888888889,0.309519064101037
5,4,"net_outflow_agi",4493.43771608538,0.244444444444444,0.27888051568526
5,5,"pct_outflow_n1",0.00219936523711805,0.288888888888889,0.292956921938897
5,5,"net_outflow_n1",32.8969892000297,0.422222222222222,0.44246274057116
5,5,"net_outflow_agi",2902.25123190096,0.422222222222222,0.434013645036108
5,6,"pct_outflow_n1",0.00134041805366312,0.311111111111111,0.322122248688784
5,6,"net_outflow_n1",124.901134880762,0.222222222222222,0.221943492096655
5,6,"net_outflow_agi",21607.4061051384,0.177777777777778,0.194289990652024
5,7,"pct_outflow_n1",0.00297969575116719,0.311111111111111,0.319645027757478
5,7,"net_outflow_n1",188.819841360817,0.0222222222222222,0.0216501101812725
5,7,"net_outflow_agi",23529.7340967263,0.4,0.43852259521434
6,1,"pct_outflow_n1",0.000424938477068037,0.355555555555556,0.367078543164297
6,1,"net_outflow_n1",-2.68285059069423,0.6,0.580028194300638
6,1,"net_outflow_agi",173.70443252226,0.4,0.370855454367831
6,2,"pct_outflow_n1",0.00124514291798351,0.222222222222222,0.246553588719255
6,2,"net_outflow_n1",225.951914010029,0.0222222222222222,0.0484756779004904
6,2,"net_outflow_agi",3820.63990558863,0.0444444444444444,0.0485016171276443
6,3,"pct_outflow_n1",0.00332863983993312,0.0444444444444444,0.0473062297538085
6,3,"net_outflow_n1",129.515487996594,0.2,0.195683469951159
6,3,"net_outflow_agi",4455.66638824829,0.222222222222222,0.219705241657186
6,4,"pct_outflow_n1",0.00301786225690656,0.0888888888888889,0.105432483262931
