"state","year","agi_class","age_group","total_n1","total_n2","nonmig_y1_agi","outflow_n1","outflow_n2","samest_y1_agi","net_outflow_n1","pct_outflow_n1","net_outflow_n2","pct_outflow_n2","outflow_agi","net_outflow_agi","total_agi","pct_outflow_agi"
"AZ",2016,4,"6",72485,118129,4520304,1601,2308,42976,-918,0.0318410705663241,-1617,0.0195379627356534,98733,-58030,4739609,0.0208314652115818
"AZ",2016,5,"0",224612,554579,18082708,6630,15070,215541,-2066,0.0670934767510195,-4165,0.0271737660459556,572617,-180596,19022603,0.0301019266395877
"AZ",2016,5,"1",6096,16838,395543,478,961,6523,72,0.157644356955381,162,0.0570732866136121,40961,6348,427485,0.0958185667333357
"AZ",2016,5,"2",30653,83125,2119016,1902,4333,44725,22,0.14135647408084,18,0.0521263157894737,163605,2176,2298232,0.0711873300867798
"AZ",2016,5,"3",44679,146762,3486337,1485,4441,48706,-186,0.0993979274379462,-634,0.0302598765347978,128749,-16713,3670691,0.0350748673751073
"AZ",2016,5,"4",46024,122862,3766909,984,2312,38595,-300,0.0502346601772988,-629,0.0188178606892286,85441,-26153,3915768,0.0218197298716369
"AZ",2016,5,"5",44919,91360,3817408,763,1361,38822,-743,0.0302989826131481,-1386,0.0148971103327496,66017,-64935,3996344,0.0165193486846978
"AZ",2016,5,"6",52241,93632,4497493,1018,1662,38168,-931,0.0318140923795486,-1696,0.0177503417634997,87842,-81317,4714081,0.0186339606807774
"AZ",2016,6,"0",302291,809222,37189993,8691,22048,344820,-3593,0.0729363427955182,-7523,0.0272459226269182,1173136,-492927,39088920,0.0300119829353177
"AZ",2016,6,"1",4758,14140,494002,337,816,4494,86,0.171500630517024,214,0.0577086280056577,43755,11791,521826,0.0838497890101298
"AZ",2016,6,"2",25858,73167,2587449,1807,4393,41932,31,0.169889395931627,36,0.0600407287438326,235402,5329,2807643,0.0838432806450108
"AZ",2016,6,"3",61868,220934,7305605,2169,7230,68781,-216,0.11686170556669,-597,0.0327247051155549,294392,-28362,7659224,0.0384362697839886
"AZ",2016,6,"4",72863,219236,9144581,1676,4543,73720,-597,0.0623498895186858,-1514,0.0207219617216151,234086,-81693,9519322,0.0245906168527548
